rank,uni,library,gmaps_rating_original,gmaps_rating_count,opening_hours,qs_rank,gmaps_rating
1,Tecnológico de Monterrey,BiblioTEC,4.9,115.0,1.00,161,4.9
1,Benemérita Universidad Autónoma de Puebla,Central University Library BUAP,4.8,285.0,1.00,1001,4.8
1,University of Salford,Clifford Whitworth Library,4.8,57.0,1.00,801,4.7
1,Auburn University,Ralph Brown Draughon Library,4.8,106.0,1.00,801,4.7
1,University of Aveiro,Library of the University of Aveiro,4.7,95.0,1.00,601,4.6
1,Istanbul Technical University,ITU Mustafa Inan Library,4.7,232.0,1.00,701,4.6
1,Anadolu University,Anadolu Üniversitesi Kütüphanesi,4.7,227.0,1.00,1001,4.6
1,Deakin University,Deakin Library Burwood,4.7,115.0,1.00,283,4.6
1,Chungnam National University,CNU Central Library (N1),4.7,118.0,1.00,751,4.6
1,King's College London,The Maughan Library,4.7,149.0,1.00,35,4.6
1,Kyungpook National University,경북대학교 대구캠퍼스 중앙도서관,4.7,125.0,1.00,541,4.6
1,University of Bradford,JB Priestley Library,4.8,35.0,1.00,701,4.6
1,The University of Texas at Arlington,UTA Central Library,4.7,258.0,1.00,1001,4.6
1,Lancaster University,Lancaster University Library,4.7,71.0,1.00,132,4.5
1,"Stony Brook University, State University of New York",Frank Melville Jr. Memorial Library,4.7,38.0,1.00,378,4.5
1,University of East London,Docklands Library,4.7,64.0,1.00,801,4.5
1,Royal Holloway University of London,Emily Wilding Davison Building,4.8,23.0,1.00,334,4.5
1,University of the West of England,Frenchay Campus Library,4.7,64.0,1.00,801,4.5
1,University of Surrey,University of Surrey Library,4.7,63.0,1.00,272,4.5
1,Pohang University of Science And Technology (POSTECH),PARK TAE-JOON Digital Library,4.7,30.0,1.00,81,4.5
1,Shahid Beheshti University (SBU),Frank Melville Jr. Memorial Library,4.7,38.0,1.00,1001,4.5
1,University of Plymouth,Charles Seale-Hayne Library,4.7,41.0,1.00,601,4.5
1,Bond University,John and Alison Kearney Main Library,5.0,6.0,1.00,451,4.5
1,Technical University of Denmark,DTU Library,4.7,69.0,1.00,99,4.5
1,Khon Kaen University,Khon Kaen University Library,4.6,60.0,1.00,801,4.4
1,Queensland University of Technology (QUT),QUT Gardens Point Library,4.6,84.0,1.00,213,4.4
1,Hacettepe University,Hacettepe University Beytepe Library,4.6,126.0,1.00,801,4.4
1,University of East Anglia (UEA),Library,4.6,72.0,1.00,307,4.4
1,Universidad del Cauca,University of Cauca,4.6,302.0,1.00,?,4.4
1,Coventry University,Lanchester Library,4.6,164.0,1.00,601,4.4
1,Sungkyunkwan University(SKKU),Sungkyunkwan University Central Library,4.6,55.0,1.00,97,4.4
1,The University of Exeter,Forum Library,4.6,70.0,1.00,149,4.4
1,University of Hertfordshire,University of Hertfordshire - LRC (College Lane),4.6,84.0,1.00,801,4.4
1,Vilnius University,Vilnius University Library Scientific Communication and Information Center,4.6,196.0,1.00,400,4.4
1,Oxford Brookes University,"Oxford Brookes University, Business School, Gipsy Lane Campus",4.9,7.0,1.00,429,4.4
1,"Birla Institute of Technology and Science, Pilani",Birla Institute Of Technology And Science–Pilani (BITS–Pilani),4.6,2085.0,1.00,1001,4.4
1,University of Leicester,David Wilson Library,4.6,109.0,1.00,236,4.4
1,Aberystwyth University,Hugh Owen Library,4.7,13.0,1.00,541,4.4
1,Lappeenranta-Lahti University of Technology LUT,LUT University Library,4.7,16.0,1.00,414,4.4
1,Jeju National University,제주대학교 중앙도서관,4.7,19.0,1.00,1001,4.4
1,Sheffield Hallam University,Adsetts Centre,4.6,78.0,1.00,1001,4.4
1,Georgia Institute of Technology,Georgia Tech Library,4.6,90.0,1.00,88,4.4
1,University of Bath,University of Bath Library,4.6,43.0,1.00,166,4.3
1,Marmara University,Prof. Dr. Orhan Oğuz Kütüphanesi,4.6,38.0,1.00,1201,4.3
1,Koç University,Suna Kıraç Kütüphanesi,4.6,13.0,1.00,511,4.3
1,Charles Darwin University,Darwin College Library,5.0,1.0,1.00,701,4.3
1,Harper Adams University,Bamford Library and Engineering Design Centre,4.8,5.0,1.00,1001,4.3
1,Universität Konstanz,Universität Konstanz - Bibliothek der Universität Konstanz,4.6,38.0,1.00,501,4.3
1,Sathyabama Institute of Science and Technology (deemed to be university),Sathyabama University,4.5,151.0,1.00,?,4.2
1,Middlesex University,Sheppard Library,4.5,28.0,1.00,701,4.2
1,The University of Edinburgh,Main Library,4.5,146.0,1.00,16,4.2
1,Swansea University,Library and Information Centre,4.5,36.0,1.00,440,4.2
1,Keele University,Keele University Library,4.5,32.0,1.00,751,4.2
1,Universidad Católica de Santiago de Guayaquil,Universidad Catolica Santiago De Guayaquil,4.5,900.0,1.00,1201,4.2
1,Leeds Beckett University,Sheila Silver Library,4.4,21.0,1.00,1001,4.1
1,"KIT, Karlsruhe Institute of Technology",KIT Library,4.4,202.0,1.00,136,4.0
1,"Goldsmiths, University of London",Goldsmiths Library,4.3,21.0,1.00,461,4.0
1,Sakarya University,Sakarya University Central Library,4.4,94.0,1.00,1201,4.0
1,The Australian National University,Chifley Library,4.4,76.0,1.00,27,4.0
1,Vilnius Gediminas Technical University,Vilnius Gediminas Technical University Library,4.3,24.0,1.00,751,3.9
1,University of Warmia and Mazury in Olsztyn,University of Warmia and Mazury in Olsztyn,4.3,182.0,1.00,?,3.8
1,Istanbul Aydin University,Istanbul Aydin University Information Center,4.2,45.0,1.00,1001,3.7
1,Dokuz Eylül Üniversitesi,Dokuz Eylül University Central Library,4.1,150.0,1.00,1201,3.4
1,Technical University of Darmstadt,University and State Library Darmstadt,4.1,176.0,1.00,269,3.4
1,University of Macau,University of Macao,4.0,58.0,1.00,322,3.4
1,The University of Warwick,University of Warwick Library,4.0,97.0,1.00,61,3.3
1,Tokyo Medical and Dental University (TMDU),Tokyo Medical & Dental University,4.0,528.0,1.00,381,3.1
1,Universidad de Alcalá,CRAI - Library - UAH,3.7,213.0,1.00,511,2.6
1,Edinburgh Napier University,Edinburgh Napier University Library,,,1.00,801,
70,Cornell University,Uris Library,4.6,52.0,0.95,21,4.3
71,Boston College,Thomas P. O'Neill Jr. Library,4.8,24.0,0.93,494,4.6
71,Lincoln University,"University Library, University of Lincoln",4.7,57.0,0.93,372,4.5
71,University of Lincoln,"University Library, University of Lincoln",4.7,57.0,0.93,801,4.5
71,Imperial College London,Imperial College London Central Library,4.6,57.0,0.93,7,4.4
75,Université Mohammed V de Rabat,المكتبة المركزية لجامعة محمد الخامس -أگدال,5.0,4.0,0.86,1201,4.4
76,University of Delhi,South Campus Library,4.6,76.0,0.83,501,4.4
77,"Universidad Tecnológica de la Habana José Antonio Echeverría, Cujae",Polytechnic José Antonio Echeverría,4.7,57.0,0.80,1001,4.5
78,Queen Mary University of London,Whitechapel Library,4.4,28.0,0.79,117,4.1
79,University of Glasgow,University of Glasgow Library,4.6,202.0,0.78,73,4.4
79,The University of Western Australia,Reid Library,4.5,128.0,0.78,93,4.2
81,Aligarh Muslim University,Maulana Azad Library,4.8,859.0,0.75,1001,4.8
81,Indian Institute of Technology Guwahati (IITG),IITG Library (Lakshminath Bezbaruah Central Library),4.7,151.0,0.75,395,4.6
83,Canterbury Christ Church University,"Augustine House Library, Canterbury Christ Church University",4.7,43.0,0.72,1001,4.5
84,EPFL,EPFL Library,5.0,14.0,0.71,14,4.7
84,Queen's University Belfast,Queen’s University Belfast The McClay Library,4.7,89.0,0.71,216,4.5
84,IE University,Guillermo y Michèle de la Dehesa Library,5.0,2.0,0.71,317,4.3
84,La Trobe University,Borchardt Library,4.6,52.0,0.71,362,4.3
84,Universidad Técnica Federico Santa María (USM),Federico Santa María Technical University,4.3,484.0,0.71,801,3.8
84,Albert-Ludwigs-Universitaet Freiburg,University Library Freiburg,3.6,260.0,0.71,172,2.4
90,Lehigh University,Linderman Library,4.7,16.0,0.70,531,4.4
90,Universitat Politècnica de València,UPV - Biblioteca Central,4.4,114.0,0.70,371,4.0
90,TU Dortmund University,Library,4.0,62.0,0.70,801,3.4
93,Universidad de Concepción,"Biblioteca Central UdeC ""Luis David Cruz Ocampo""",4.8,142.0,0.69,601,4.8
93,SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,SRM Central Library,4.6,151.0,0.69,1201,4.4
93,Wesleyan University,Olin Memorial Library,4.8,9.0,0.69,?,4.4
93,University of Toledo,The University of Toledo Mulford Health Science Library,4.6,23.0,0.69,?,4.3
93,Northeastern University,Northeastern University Law Library,,,0.69,342,
98,Lahore University of Management Sciences (LUMS),Gad and Birgit Rausing Library,4.8,53.0,0.68,651,4.7
98,Ruprecht-Karls-Universität Heidelberg,Heidelberg University Library,4.6,236.0,0.68,63,4.4
98,University of Connecticut,UConn Library,4.6,8.0,0.68,373,4.3
98,The University of Alabama,Amelia Gayle Gorgas Library,4.6,44.0,0.68,801,4.3
98,University of Idaho,University of Idaho Library,4.5,4.0,0.68,?,4.2
103,Indian Institute of Technology Kharagpur (IIT-KGP),Central Library,4.8,179.0,0.67,280,4.8
103,University of Otago,"Central Library, University Of Otago",4.8,98.0,0.67,194,4.7
103,University of Southampton,Hartley Library (36),4.7,81.0,0.67,77,4.5
103,Universidad Externado de Colombia,Biblioteca Universidad de La Salle,4.7,18.0,0.67,591,4.4
103,Universidad de La Salle,Biblioteca Universidad de La Salle,4.7,18.0,0.67,1201,4.4
103,Northumbria University at Newcastle,"City Campus Library, Northumbria University",4.6,81.0,0.67,701,4.4
103,Delft University of Technology,TU Delft Library,4.6,234.0,0.67,57,4.4
103,University of York,JB Morrell Library,4.6,51.0,0.67,151,4.3
103,Kuwait University,Kuwait University Library,4.5,11.0,0.67,1001,4.2
103,California Polytechnic State University,Robert E. Kennedy Library,4.5,37.0,0.67,?,4.2
103,Philipps-Universität Marburg,Marburg University Library,4.3,152.0,0.67,701,3.8
103,University of South Australia,University of South Australia Library - Magill Campus,3.8,13.0,0.67,326,3.6
103,The London School of Economics and Political Science (LSE),The British Library of Political and Economic Science,4.0,112.0,0.67,49,3.3
116,Bielefeld University,University Library Bielefeld,4.4,58.0,0.66,801,4.0
116,Politecnico di Milano,Leonardo Campus Library,4.3,158.0,0.66,142,3.8
118,National University of Sciences And Technology (NUST) Islamabad,Central Library - NUST H-12 Main Campus,4.8,295.0,0.65,358,4.8
118,University of Dundee,Library & Learning Centre - University of Dundee,4.8,55.0,0.65,322,4.7
118,Boğaziçi University,Bogazici University Library,4.7,118.0,0.65,701,4.6
118,Rutgers University–Newark,Rutgers Law Library,5.0,5.0,0.65,801,4.4
118,Vellore Institute of Technology (VIT),VIT University Library,4.5,188.0,0.65,1001,4.2
118,University Duesseldorf,University and State Library,4.3,133.0,0.65,751,3.8
118,Justus-Liebig-University Giessen,Universitätsbibliothek der Justus-Liebig-Universität Gießen,4.1,86.0,0.65,490,3.5
118,Akdeniz Üniversitesi,Merkezkütüphane of Akdeniz University,3.6,173.0,0.65,1201,2.4
126,Indian Institute of Science,JRD Tata Memorial Library,4.8,159.0,0.64,186,4.8
126,University of Notre Dame,Hesburgh Library,4.8,81.0,0.64,222,4.7
126,The Ohio State University,The Ohio State University Library,4.7,39.0,0.64,120,4.5
126,Clemson University,Clemson University Libraries,4.7,31.0,0.64,801,4.5
126,Memorial University of Newfoundland,Queen Elizabeth II Library,4.6,32.0,0.64,751,4.3
126,University of San Diego,Pardee Legal Research Center,4.6,10.0,0.64,1001,4.3
126,Universitat Pompeu Fabra (Barcelona),Biblioteca/CRAI de la Ciutadella,4.5,130.0,0.64,248,4.2
126,Georgetown University,Joseph Mark Lauinger Memorial Library,4.3,34.0,0.64,248,3.9
126,Rheinische Friedrich-Wilhelms-Universität Bonn,Abteilungsbibliothek MNL,4.1,8.0,0.64,226,3.9
126,Izmir Institute of Technology (IZTECH),Izmir Institute of Technology Library iYTE Library,4.3,36.0,0.64,1001,3.9
126,Tilburg University,Tilburg University Library,4.2,33.0,0.64,356,3.8
126,Johannes Gutenberg Universität Mainz,University Library,4.0,65.0,0.64,427,3.3
126,Universität Stuttgart,University Library Stuttgart (city center),3.3,78.0,0.64,347,2.1
139,University of Texas at San Antonio,John Peace Library,4.8,85.0,0.63,801,4.7
139,Universität Leipzig,Leipzig University Library,4.7,155.0,0.63,447,4.6
139,Universidade de Brasília,Central Library,4.7,232.0,0.63,801,4.6
139,University of Central Oklahoma,Chambers Library,4.7,47.0,0.63,?,4.5
139,Binghamton University SUNY,Glenn G. Bartle Library,4.7,50.0,0.63,801,4.5
